,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
309,Sacramento Kings,6250000.0,Peja Stojakovic, SF,2004,Conf Semifinals,0.6709999999999999
310,Chicago Bulls,6246000.0,Eddie Robinson, SF,2004,Did not make the Playoffs,0.28
311,Detroit Pistons,6166000.0,Bob Sura, PG,2004,Champion,0.659
312,San Antonio Spurs,6030000.0,Charlie Ward, PG,2004,Conf Semifinals,0.695
313,Memphis Grizzlies,5955000.0,Bo Outlaw, PF,2004,Conf First Round,0.61
314,Phoenix Suns,5843000.0,Howard Eisley, PG,2004,Did not make the Playoffs,0.354
315,Dallas Mavericks,5750000.0,Steve Nash, PG,2004,Conf First Round,0.634
316,Houston Rockets,5720000.0,Steve Francis, PG,2004,Conf First Round,0.5489999999999999
317,Seattle SuperSonics,5715000.0,Vitaly Potapenko, C,2004,Did not make the Playoffs,0.451
318,New York Knicks,5700000.0,Nazr Mohammed, C,2004,Conf First Round,0.47600000000000003
319,Cleveland Cavaliers,5560000.0,Eric Williams, PF,2004,Did not make the Playoffs,0.42700000000000005
320,Washington Wizards,5526000.0,Christian Laettner, PF,2004,Did not make the Playoffs,0.305
321,Toronto Raptors,5500000.0,Alvin Williams, PG,2004,Did not make the Playoffs,0.402
322,Detroit Pistons,5500000.0,Ben Wallace, PF,2004,Champion,0.659
323,Portland Trail Blazers,5447000.0,Ruben Patterson, PF,2004,Did not make the Playoffs,0.5
324,Seattle SuperSonics,5446000.0,Calvin Booth, C,2004,Did not make the Playoffs,0.451
325,Milwaukee Bucks,5445000.0,Joe Smith, PF,2004,Conf First Round,0.5
326,New York Knicks,5445000.0,Clarence Weatherspoon, PF,2004,Conf First Round,0.47600000000000003
327,Golden State Warriors,5445000.0,Avery Johnson, PG,2004,Did not make the Playoffs,0.451
328,Dallas Mavericks,5428000.0,Danny Fortson, C,2004,Conf First Round,0.634
329,Toronto Raptors,5400000.0,Jerome Williams, PF,2004,Did not make the Playoffs,0.402
330,Seattle SuperSonics,5400000.0,Brent Barry, SG,2004,Did not make the Playoffs,0.451
331,Washington Wizards,5394000.0,Jahidi White, C,2004,Did not make the Playoffs,0.305
332,New York Knicks,5394000.0,Kurt Thomas, PF,2004,Conf First Round,0.47600000000000003
333,Houston Rockets,5393000.0,Cuttino Mobley, SG,2004,Conf First Round,0.5489999999999999
334,Indiana Pacers,5310000.0,Scot Pollard, C,2004,Conf Finals,0.7440000000000001
335,San Antonio Spurs,5300000.0,Robert Horry, PF,2004,Conf Semifinals,0.695
336,Dallas Mavericks,5194000.0,Shawn Bradley, C,2004,Conf First Round,0.634
337,New Orleans Hornets,5173000.0,Baron Davis, PG,2004,Conf First Round,0.5
338,New Jersey Nets,5128000.0,Kenyon Martin, PF,2004,Conf Semifinals,0.573
339,Washington Wizards,5062000.0,Brevin Knight, PG,2004,Did not make the Playoffs,0.305
340,Detroit Pistons,5000000.0,Corliss Williamson, PF,2004,Champion,0.659
341,Philadelphia 76ers,5000000.0,Aaron McKie, SG,2004,Did not make the Playoffs,0.402
342,Miami Heat,4692000.0,Lamar Odom, PF,2004,Conf Semifinals,0.512
343,Sacramento Kings,3600000.0,Lawrence Funderburke, PF,2004,Conf Semifinals,0.6709999999999999
344,New York Knicks,3600000.0,Moochie Norris, PG,2004,Conf First Round,0.47600000000000003
345,Detroit Pistons,3596000.0,Richard Hamilton, SG,2004,Champion,0.659
346,Memphis Grizzlies,3417000.0,Pau Gasol, C,2004,Conf First Round,0.61
347,Memphis Grizzlies,3380000.0,Mike Miller, SG,2004,Conf First Round,0.61
348,Denver Nuggets,3317000.0,Andre Miller, PG,2004,Conf First Round,0.524
349,Detroit Pistons,3300000.0,Lindsey Hunter, SG,2004,Champion,0.659
350,Washington Wizards,3259000.0,Chris Whitney, PG,2004,Did not make the Playoffs,0.305
351,New York Knicks,3087000.0,DerMarr Johnson, SF,2004,Conf First Round,0.47600000000000003
352,Phoenix Suns,3069000.0,Shawn Marion, SG,2004,Did not make the Playoffs,0.354
353,Los Angeles Lakers,3000000.0,Derek Fisher, PG,2004,Finals,0.6829999999999999
354,Atlanta Hawks,3000000.0,Chris Crawford, SF,2004,Did not make the Playoffs,0.341
355,Atlanta Hawks,2933000.0,Jason Terry, G,2004,Did not make the Playoffs,0.341
356,Miami Heat,2925000.0,Bimbo Coles, PG,2004,Conf Semifinals,0.512
357,New Jersey Nets,2925000.0,Aaron Williams, C,2004,Conf Semifinals,0.573
358,New York Knicks,2925000.0,Othella Harrington, PF,2004,Conf First Round,0.47600000000000003
359,Dallas Mavericks,2925000.0,Tony Delk, PG,2004,Conf First Round,0.634
360,Sacramento Kings,2925000.0,Bobby Jackson, PG,2004,Conf Semifinals,0.6709999999999999
361,Los Angeles Lakers,2903000.0,Horace Grant, C,2004,Finals,0.6829999999999999
362,New Jersey Nets,2894000.0,Hubert Davis, SG,2004,Conf Semifinals,0.573
363,Los Angeles Clippers,2862000.0,Corey Maggette, SF,2004,Did not make the Playoffs,0.341
364,Memphis Grizzlies,4614000.0,Stromile Swift, PF,2004,Conf First Round,0.61
365,Houston Rockets,4580000.0,Mark Jackson, PG,2004,Conf First Round,0.5489999999999999
366,Los Angeles Lakers,4549000.0,Rick Fox, SF,2004,Finals,0.6829999999999999
367,Toronto Raptors,4500000.0,Lamond Murray, SF,2004,Did not make the Playoffs,0.402
368,Philadelphia 76ers,4500000.0,Eric Snow, PG,2004,Did not make the Playoffs,0.402
369,Cleveland Cavaliers,4480000.0,Michael Stewart, PF,2004,Did not make the Playoffs,0.42700000000000005
370,Cleveland Cavaliers,4400000.0,Tony Battie, C,2004,Did not make the Playoffs,0.42700000000000005
371,Golden State Warriors,4400000.0,Adonal Foyle, C,2004,Did not make the Playoffs,0.451
372,Indiana Pacers,4278000.0,Jonathan Bender, SF,2004,Conf Finals,0.7440000000000001
373,Washington Wizards,4252000.0,Kwame Brown, C,2004,Did not make the Playoffs,0.305
374,Detroit Pistons,4200000.0,Zeljko Rebraca, C,2004,Champion,0.659
375,Portland Trail Blazers,4130000.0,Darius Miles, SF,2004,Did not make the Playoffs,0.5
376,San Antonio Spurs,4063000.0,Anthony Carter, PG,2004,Conf Semifinals,0.695
377,New Orleans Hornets,3960000.0,David Wesley, SG,2004,Conf First Round,0.5
378,Minnesota Timberwolves,3912000.0,Wally Szczerbiak, SG,2004,Conf Finals,0.7070000000000001
379,Detroit Pistons,3900000.0,Chucky Atkins, PG,2004,Champion,0.659
380,Philadelphia 76ers,3900000.0,Marc Jackson, PF,2004,Did not make the Playoffs,0.402
381,Chicago Bulls,3726000.0,Marcus Fizer, F,2004,Did not make the Playoffs,0.28
382,Orlando Magic,3625000.0,Andrew DeClercq, C,2004,Did not make the Playoffs,0.256
383,Cleveland Cavaliers,2823000.0,Chris Mihm, C,2004,Did not make the Playoffs,0.42700000000000005
384,Toronto Raptors,2800000.0,Michael Curry, SF,2004,Did not make the Playoffs,0.402
385,New Orleans Hornets,2800000.0,George Lynch, SF,2004,Conf First Round,0.5
386,Indiana Pacers,2676000.0,Metta World Peace, SF,2004,Conf Finals,0.7440000000000001
387,New York Knicks,2610000.0,John Amaechi, PF,2004,Conf First Round,0.47600000000000003
388,Chicago Bulls,2577000.0,Jamal Crawford, SG,2004,Did not make the Playoffs,0.28
389,Memphis Grizzlies,2533000.0,Shane Battier, SF,2004,Conf First Round,0.61
390,Memphis Grizzlies,2445000.0,James Posey, SF,2004,Conf First Round,0.61
391,New Orleans Hornets,2400000.0,Stacey Augmon, SF,2004,Conf First Round,0.5
392,Milwaukee Bucks,2373000.0,Joel Przybilla, C,2004,Conf First Round,0.5
393,Minnesota Timberwolves,2350000.0,Quincy Lewis, SG,2004,Conf Finals,0.7070000000000001
394,Toronto Raptors,2270000.0,Dion Glover, SG,2004,Did not make the Playoffs,0.402
395,Indiana Pacers,2264000.0,Jeff Foster, PF,2004,Conf Finals,0.7440000000000001
396,Los Angeles Clippers,2256000.0,Keyon Dooling, PG,2004,Did not make the Playoffs,0.341
397,Los Angeles Lakers,2244000.0,Devean George, SF,2004,Finals,0.6829999999999999
398,Toronto Raptors,2230000.0,Jerome Moiso, C,2004,Did not make the Playoffs,0.402
399,Philadelphia 76ers,2225000.0,Kenny Thomas, PF,2004,Did not make the Playoffs,0.402
400,Washington Wizards,2211000.0,Etan Thomas, C,2004,Did not make the Playoffs,0.305
401,Cleveland Cavaliers,2134000.0,Mateen Cleaves, PG,2004,Did not make the Playoffs,0.42700000000000005
402,Cleveland Cavaliers,2118000.0,DeSagana Diop, C,2004,Did not make the Playoffs,0.42700000000000005
403,Atlanta Hawks,2109000.0,Jason Collier, C,2004,Did not make the Playoffs,0.341
404,Boston Celtics,2104000.0,Jumaine Jones, SF,2004,Conf First Round,0.439
405,Houston Rockets,2102000.0,Scott Padgett, PF,2004,Conf First Round,0.5489999999999999
406,San Antonio Spurs,1995000.0,Hedo Turkoglu, SF,2004,Conf Semifinals,0.695
407,Denver Nuggets,1948000.0,Rodney White, SF,2004,Conf First Round,0.524
408,Milwaukee Bucks,1898000.0,Desmond Mason, SF,2004,Conf First Round,0.5
409,Phoenix Suns,1850000.0,Joe Johnson, G,2004,Did not make the Playoffs,0.354
410,Los Angeles Clippers,1805000.0,Quentin Richardson, SF,2004,Did not make the Playoffs,0.341
411,Cleveland Cavaliers,1757000.0,Kedrick Brown, SG,2004,Did not make the Playoffs,0.42700000000000005
412,New Orleans Hornets,1735000.0,Jamaal Magloire, C,2004,Conf First Round,0.5
413,Seattle SuperSonics,1670000.0,Vladimir Radmanovic, SF,2004,Did not make the Playoffs,0.451
414,Golden State Warriors,1667000.0,Speedy Claxton, PG,2004,Did not make the Playoffs,0.451
415,Toronto Raptors,1646000.0,Morris Peterson, SG,2004,Did not make the Playoffs,0.402
416,Phoenix Suns,1631000.0,Donnell Harvey, PF,2004,Did not make the Playoffs,0.354
417,Utah Jazz,1624000.0,DeShawn Stevenson, SG,2004,Did not make the Playoffs,0.512
418,New Jersey Nets,1586000.0,Richard Jefferson, F,2004,Conf Semifinals,0.573
419,Memphis Grizzlies,1580000.0,Jake Tsakalidis, C,2004,Conf First Round,0.61
420,Dallas Mavericks,1537000.0,Mamadou N'diaye, C,2004,Conf First Round,0.634
421,Golden State Warriors,1507000.0,Troy Murphy, PF,2004,Did not make the Playoffs,0.451
422,Minnesota Timberwolves,1474000.0,Mark Madsen, PF,2004,Conf Finals,0.7070000000000001
423,New Orleans Hornets,1300000.0,Bryce Drew, PG,2004,Conf First Round,0.5
424,Toronto Raptors,1292000.0,Michael Bradley, PF,2004,Did not make the Playoffs,0.402
425,New Jersey Nets,1227000.0,Jason Collins, C,2004,Conf Semifinals,0.573
426,Portland Trail Blazers,1172000.0,Zach Randolph, PF,2004,Did not make the Playoffs,0.5
427,New Jersey Nets,995000.0,Brandon Armstrong, SG,2004,Conf Semifinals,0.573
428,Utah Jazz,956000.0,Andrei Kirilenko, SF,2004,Did not make the Playoffs,0.512
429,Philadelphia 76ers,887000.0,Samuel Dalembert, C,2004,Did not make the Playoffs,0.402
430,Indiana Pacers,862000.0,Primoz Brezec, C,2004,Conf Finals,0.7440000000000001
431,Indiana Pacers,861000.0,Jamaal Tinsley, PG,2004,Conf Finals,0.7440000000000001
432,San Antonio Spurs,856000.0,Tony Parker, PG,2004,Conf Semifinals,0.695
433,Sacramento Kings,764000.0,Gerald Wallace, SF,2004,Conf Semifinals,0.6709999999999999
434,Los Angeles Clippers,639000.0,Predrag Drobnjak, C,2004,Did not make the Playoffs,0.341
435,Minnesota Timberwolves,587000.0,Trenton Hassell, SF,2004,Conf Finals,0.7070000000000001
436,Miami Heat,29464000.0,Shaquille O'Neal, C,2005,Conf Finals,0.72
437,Dallas Mavericks,14609000.0,Michael Finley, SG,2005,Conf Semifinals,0.7070000000000001
438,Houston Rockets,14487000.0,Tracy McGrady, SG,2005,Conf First Round,0.622
439,Orlando Magic,14487000.0,Grant Hill, SF,2005,Did not make the Playoffs,0.439
440,Miami Heat,13440000.0,Eddie Jones, SG,2005,Conf Finals,0.72
441,Los Angeles Lakers,13346000.0,Brian Grant, PF,2005,Did not make the Playoffs,0.415
442,Toronto Raptors,13281000.0,Vince Carter, SF,2005,Did not make the Playoffs,0.402
443,New York Knicks,12900000.0,Tim Thomas, PF,2005,Did not make the Playoffs,0.402
444,Chicago Bulls,12000000.0,Antonio Davis, PF,2005,Conf First Round,0.573
445,San Antonio Spurs,12000000.0,Glenn Robinson, SF,2005,Champion,0.72
446,Portland Trail Blazers,11821000.0,Nick Van Exel, PG,2005,Did not make the Playoffs,0.32899999999999996
447,Houston Rockets,19684000.0,Dikembe Mutombo, C,2005,Conf First Round,0.622
448,Portland Trail Blazers,10937000.0,Theo Ratliff, C,2005,Did not make the Playoffs,0.32899999999999996
449,Los Angeles Clippers,9817000.0,Kerry Kittles, SG,2005,Did not make the Playoffs,0.451
450,Philadelphia 76ers,9300000.0,Jamal Mashburn, SF,2005,Conf First Round,0.524
451,New York Knicks,8450000.0,Maurice Taylor, PF,2005,Did not make the Playoffs,0.402
452,Portland Trail Blazers,8444000.0,Derek Anderson, SG,2005,Did not make the Playoffs,0.32899999999999996
453,Dallas Mavericks,8273000.0,Alan Henderson, PF,2005,Conf Semifinals,0.7070000000000001
454,Indiana Pacers,8260000.0,Austin Croshere, PF,2005,Conf Semifinals,0.537
455,Dallas Mavericks,8105000.0,Erick Dampier, C,2005,Conf Semifinals,0.7070000000000001
456,Orlando Magic,7992000.0,Kelvin Cato, C,2005,Did not make the Playoffs,0.439
457,Denver Nuggets,7750000.0,Marcus Camby, C,2005,Conf First Round,0.598
458,New York Knicks,17531000.0,Allan Houston, SG,2005,Did not make the Playoffs,0.402
459,New York Knicks,7300000.0,Shandon Anderson, SF,2005,Did not make the Playoffs,0.402
460,Memphis Grizzlies,7150000.0,Lorenzen Wright, PF,2005,Conf First Round,0.5489999999999999
461,Dallas Mavericks,7000000.0,Jerry Stackhouse, SF,2005,Conf Semifinals,0.7070000000000001
462,Sacramento Kings,6875000.0,Doug Christie, SG,2005,Conf First Round,0.61
463,Sacramento Kings,6875000.0,Peja Stojakovic, SF,2005,Conf First Round,0.61
464,Denver Nuggets,6667000.0,Kenyon Martin, PF,2005,Conf First Round,0.598
465,Utah Jazz,6375000.0,Howard Eisley, PG,2005,Did not make the Playoffs,0.317
466,San Antonio Spurs,6270000.0,Nazr Mohammed, C,2005,Champion,0.72
467,Seattle SuperSonics,6191000.0,Vitaly Potapenko, C,2005,Conf Semifinals,0.634
468,Miami Heat,6078000.0,Christian Laettner, PF,2005,Conf Finals,0.72
469,Sacramento Kings,17351000.0,Chris Webber, C,2005,Conf First Round,0.61
470,Memphis Grizzlies,6022000.0,Stromile Swift, PF,2005,Conf First Round,0.5489999999999999
471,Portland Trail Blazers,15750000.0,Damon Stoudamire, PG,2005,Did not make the Playoffs,0.32899999999999996
472,Seattle SuperSonics,14625000.0,Ray Allen, SG,2005,Conf Semifinals,0.634
473,Minnesota Timberwolves,14625000.0,Latrell Sprewell, SG,2005,Did not make the Playoffs,0.537
474,Boston Celtics,14625000.0,Antoine Walker, PF,2005,Conf First Round,0.5489999999999999
475,New York Knicks,14625000.0,Stephon Marbury, PG,2005,Did not make the Playoffs,0.402
476,Detroit Pistons,6000000.0,Ben Wallace, PF,2005,Finals,0.659
477,Seattle SuperSonics,5922000.0,Danny Fortson, C,2005,Conf Semifinals,0.634
478,Milwaukee Bucks,5900000.0,Calvin Booth, C,2005,Did not make the Playoffs,0.366
479,Milwaukee Bucks,5899000.0,Joe Smith, PF,2005,Did not make the Playoffs,0.366
480,Houston Rockets,5899000.0,Clarence Weatherspoon, PF,2005,Conf First Round,0.622
481,New York Knicks,5885000.0,Kurt Thomas, PF,2005,Did not make the Playoffs,0.402
482,Charlotte Bobcats,5884000.0,Jahidi White, C,2005,Did not make the Playoffs,0.22
483,Sacramento Kings,5883000.0,Cuttino Mobley, SG,2005,Conf First Round,0.61
484,Indiana Pacers,5792000.0,Scot Pollard, C,2005,Conf Semifinals,0.537
485,Phoenix Suns,5750000.0,Steve Nash, PG,2005,Conf Finals,0.7559999999999999
486,Dallas Mavericks,5714000.0,Shawn Bradley, C,2005,Conf Semifinals,0.7070000000000001
487,New York Knicks,5600000.0,Jerome Williams, PF,2005,Did not make the Playoffs,0.402
488,Sacramento Kings,5500000.0,Corliss Williamson, PF,2005,Conf First Round,0.61
489,Philadelphia 76ers,5500000.0,Aaron McKie, SG,2005,Conf First Round,0.524
490,Portland Trail Blazers,5419000.0,Darius Miles, SF,2005,Did not make the Playoffs,0.32899999999999996
491,Washington Wizards,5361000.0,Kwame Brown, C,2005,Conf Semifinals,0.5489999999999999
492,Phoenix Suns,5355000.0,Bo Outlaw, PF,2005,Conf Finals,0.7559999999999999
493,Milwaukee Bucks,4915000.0,Marcus Fizer, F,2005,Did not make the Playoffs,0.366
494,Toronto Raptors,4875000.0,Lamond Murray, SF,2005,Did not make the Playoffs,0.402
495,Cleveland Cavaliers,4875000.0,Eric Snow, PG,2005,Did not make the Playoffs,0.512
496,Orlando Magic,4800000.0,Tony Battie, C,2005,Did not make the Playoffs,0.439
497,Atlanta Hawks,4800000.0,Michael Stewart, PF,2005,Did not make the Playoffs,0.159
498,Memphis Grizzlies,4482000.0,Mike Miller, SG,2005,Conf First Round,0.5489999999999999
499,Memphis Grizzlies,4318000.0,Pau Gasol, C,2005,Conf First Round,0.5489999999999999
500,Philadelphia 76ers,4225000.0,Marc Jackson, PF,2005,Conf First Round,0.524
501,Los Angeles Lakers,4200000.0,Chucky Atkins, PG,2005,Did not make the Playoffs,0.415
502,Denver Nuggets,4119000.0,DerMarr Johnson, SF,2005,Conf First Round,0.598
503,Los Angeles Lakers,3785000.0,Chris Mihm, C,2005,Did not make the Playoffs,0.415
504,New York Knicks,3600000.0,Moochie Norris, PG,2005,Did not make the Playoffs,0.402
505,New York Knicks,3475000.0,Jamal Crawford, SG,2005,Did not make the Playoffs,0.402
506,Portland Trail Blazers,3215000.0,Joel Przybilla, C,2005,Did not make the Playoffs,0.32899999999999996
507,Memphis Grizzlies,3212000.0,Shane Battier, SF,2005,Conf First Round,0.5489999999999999
508,Toronto Raptors,3150000.0,Aaron Williams, C,2005,Did not make the Playoffs,0.402
509,Chicago Bulls,3150000.0,Othella Harrington, PF,2005,Conf First Round,0.573
510,Sacramento Kings,3150000.0,Bobby Jackson, PG,2005,Conf First Round,0.61
511,Miami Heat,3073000.0,Keyon Dooling, PG,2005,Conf Finals,0.72
512,Toronto Raptors,3054000.0,Jerome Moiso, C,2005,Did not make the Playoffs,0.402
513,Washington Wizards,3043000.0,Etan Thomas, C,2005,Conf Semifinals,0.5489999999999999
514,Golden State Warriors,3000000.0,Derek Fisher, PG,2005,Did not make the Playoffs,0.415
515,New Orleans Hornets,3000000.0,George Lynch, SF,2005,Did not make the Playoffs,0.22
516,Golden State Warriors,2232000.0,Troy Murphy, PF,2005,Did not make the Playoffs,0.415
517,Minnesota Timberwolves,2212000.0,Mark Madsen, PF,2005,Did not make the Playoffs,0.537
518,Sacramento Kings,1985000.0,Michael Bradley, PF,2005,Conf First Round,0.61
519,New Jersey Nets,1887000.0,Jason Collins, C,2005,Conf First Round,0.512
520,Portland Trail Blazers,1805000.0,Zach Randolph, PF,2005,Did not make the Playoffs,0.32899999999999996
521,Utah Jazz,1672000.0,Andrei Kirilenko, SF,2005,Did not make the Playoffs,0.317
522,Philadelphia 76ers,1600000.0,Samuel Dalembert, C,2005,Conf First Round,0.524
523,Indiana Pacers,1554000.0,Jamaal Tinsley, PG,2005,Conf Semifinals,0.537
524,Charlotte Bobcats,1554000.0,Primoz Brezec, C,2005,Did not make the Playoffs,0.22
525,San Antonio Spurs,1545000.0,Tony Parker, PG,2005,Champion,0.72
526,Charlotte Bobcats,1377000.0,Gerald Wallace, SF,2005,Did not make the Playoffs,0.22
527,Seattle SuperSonics,2969000.0,Mateen Cleaves, PG,2005,Conf Semifinals,0.634
528,Atlanta Hawks,2949000.0,Jason Collier, C,2005,Did not make the Playoffs,0.159
529,Minnesota Timberwolves,2937000.0,Eddie Griffin, PF,2005,Did not make the Playoffs,0.537
530,Orlando Magic,2803000.0,Hedo Turkoglu, SF,2005,Did not make the Playoffs,0.439
531,Cleveland Cavaliers,2695000.0,DeSagana Diop, C,2005,Did not make the Playoffs,0.512
532,Milwaukee Bucks,2680000.0,Desmond Mason, SF,2005,Did not make the Playoffs,0.366
533,Phoenix Suns,2562000.0,Quentin Richardson, SF,2005,Conf Finals,0.7559999999999999
534,Golden State Warriors,2481000.0,Rodney White, SF,2005,Did not make the Playoffs,0.415
535,New Orleans Hornets,2474000.0,Jamaal Magloire, C,2005,Did not make the Playoffs,0.22
536,Golden State Warriors,2390000.0,Speedy Claxton, PG,2005,Did not make the Playoffs,0.415
537,Toronto Raptors,2371000.0,Morris Peterson, SG,2005,Did not make the Playoffs,0.402
538,New Jersey Nets,2363000.0,Donnell Harvey, PF,2005,Conf First Round,0.512
539,Orlando Magic,2362000.0,DeShawn Stevenson, SG,2005,Did not make the Playoffs,0.439
540,Phoenix Suns,2358000.0,Joe Johnson, G,2005,Conf Finals,0.7559999999999999
541,Philadelphia 76ers,2332000.0,Kedrick Brown, SG,2005,Conf First Round,0.524
542,Memphis Grizzlies,2322000.0,Jake Tsakalidis, C,2005,Conf First Round,0.5489999999999999
543,Seattle SuperSonics,2301000.0,Vladimir Radmanovic, SF,2005,Conf Semifinals,0.634
544,Los Angeles Clippers,2269000.0,Mamadou N'diaye, C,2005,Did not make the Playoffs,0.451
545,New Jersey Nets,2266000.0,Richard Jefferson, F,2005,Conf First Round,0.512
546,Miami Heat,20000000.0,Shaquille O'Neal, C,2006,Champion,0.634
547,Los Angeles Clippers,15750000.0,Vin Baker, PF,2006,Conf Semifinals,0.573
